created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Sep 25 14:54:25 +0000 2023;1706321261884833877;"@Kutipan_Anda setuju, kalau langsung dilarang gimana para umkm yg lagi merintis di tiktokshop #KamiUMKMdiTikTok";0;0;0;0;in;1661620584290344963;1706208470327026169;Laladipsii;https://twitter.com/Laladipsii/status/1706321261884833877
Mon Sep 25 14:25:16 +0000 2023;1706313926319722679;"Banyak yang berpenghasilan dari tiktok shop tapi ko malah dilarang, kenapa?  #tiktokshop #tiktokindonesia";0;1;0;0;in;1607852484814598145;1706313926319722679;CoffeeoutDor;https://twitter.com/CoffeeoutDor/status/1706313926319722679
Mon Sep 25 14:05:33 +0000 2023;1706308963606667411;"Resmi, TikTok Shop Dilarang Jualan Hanya Boleh Iklan  #TikTok #TikTokShop #ZulkifliHasan #Mendag https://t.co/EuQEU8cBrm https://t.co/2hCjg43cVj";0;0;0;0;in;737114089386741760;1706308963606667411;TechnologueID;https://twitter.com/TechnologueID/status/1706308963606667411
Mon Sep 25 13:26:01 +0000 2023;1706299017523528123;"@Strategi_Bisnis Kalo didengar penjelasannya ngak bakal dilarang cuma diminta 2 ijin terpisah aja dan di sosmednya tidak ada fitur transaksi. Kalo begitu doang buat tiktok gampanglah, tinggal redirect transaksinya ke web tiktokshop udah selesai😅";0;0;1;0;in;1546600680;1706227746521989576;andriipod;https://twitter.com/andriipod/status/1706299017523528123
Mon Sep 25 12:55:24 +0000 2023;1706291312679682312;"Berhubung tiktokshop resmi dilarang checkout dulu aah mana gratis ongkir";0;1;0;0;in;1241438571413655552;1706291312679682312;ken2terus;https://twitter.com/ken2terus/status/1706291312679682312
Mon Sep 25 12:51:05 +0000 2023;1706290223586631858;"@AREAJULID anjir padahal sama aja kek platform lain, kenapa cuma tiktokshop yg dilarang bgsattt";0;0;0;0;in;1948764924;1706269434980286930;iamnoturbee;https://twitter.com/iamnoturbee/status/1706290223586631858
Mon Sep 25 12:02:51 +0000 2023;1706278085262455058;"Ketahui kapan TikTok Shop ditutup, kenapa mau dihapus dan dilarang di Indonesia? Simak aturan larangan jualan di social commerce. #TikTokshop   https://t.co/TycFqOe4da";0;0;0;0;in;1287642738683342848;1706278085262455058;berita_diy;https://twitter.com/berita_diy/status/1706278085262455058
Mon Sep 25 11:52:39 +0000 2023;1706275519313129682;"pada ketrigger judul berita TiktokShop resmi dilarang, pas baca isi beritanya tuh ternyata harus dipisah antara e-commerce &amp  socmed  semoga Tiktok bisa bikin aplikasi sendiri khusus e-commerce nya, jadi kepisah sm tiktok utama";1;0;1;0;in;1264815661651357697;1706275519313129682;afvckado_;https://twitter.com/afvckado_/status/1706275519313129682
Mon Sep 25 11:11:55 +0000 2023;1706265267398115791;"Gaiss, offering letter yang sudah di tandatangani itu bisa di batalin ga si sama perusahaan? Udah taken OL tapi ada kabar Tiktokshop bakal dilarang, work!";0;0;1;2;in;1244597361826885636;1706265267398115791;worksfess;https://twitter.com/worksfess/status/1706265267398115791
Mon Sep 25 10:59:58 +0000 2023;1706262262951133469;"@txtfrombrand KOREKSI: bukan dilarang,tapi dipisahkan aplikasi sosmed dan ecommerce-nya  jadi nanti tiktok dan tiktokshop bakal beda aplikasinya";0;1;0;1;in;1421741229709021187;1706253211278188865;mengcapeksangat;https://twitter.com/mengcapeksangat/status/1706262262951133469
