created_at,full_text,username,preprocessing
Mon Sep 25 11:52:39 +0000 2023,"pada ketrigger judul berita tiktokshop resmi dilarang, pas baca isi beritanya tuh ternyata harus dipisah antara e-commerce &amp  socmed  semoga tiktok bisa bikin aplikasi sendiri khusus e-commerce nya, jadi kepisah sm tiktok utama",afvckado_,k e t r i g g e r   j u d u l   b e r i t a   t i k t o k s h o p   r e s m i   l a r a n g   p a s   b a c a   i s i   b e r i t a   t u h   p i s a h   e c o m m e r c e   a m p s o c m e d s e m o g a   t i k t o k   b i k i n   a p l i k a s i   k h u s u s   e c o m m e r c e   n y a   p i s a h   s m   t i k t o k   u t a m a
Mon Sep 25 11:11:55 +0000 2023,"gaiss, offering letter yang sudah di tandatangani itu bisa di batalin ga si sama perusahaan? udah taken ol tapi ada kabar tiktokshop bakal dilarang, work!",worksfess,g a i s s   o f f e r i n g   l e t t e r   t a n d a t a n g a n i   b a t a l i n   g a   s i   u s a h a   u d a h   t a k e n   o l   k a b a r   t i k t o k s h o p   l a r a n g   w o r k
Mon Sep 25 10:59:58 +0000 2023,"@txtfrombrand koreksi: bukan dilarang,tapi dipisahkan aplikasi sosmed dan ecommerce-nya  jadi nanti tiktok dan tiktokshop bakal beda aplikasinya",mengcapeksangat,k o r e k s i   d i l a r a n g t a p i   p i s a h   a p l i k a s i   s o s m e d   e c o m m e r c e n y a j a d i   t i k t o k   t i k t o k s h o p   b e d a   a p l i k a s i
Mon Sep 25 09:55:00 +0000 2023,"@tanyarlfes dengan tiktokshop dilarang apa bikin pedagang toko balik rame lagi? gimana dengan shopee live, tokopedia play, lazlive?? gak bakal langsung wuzz toko rame kan? wkwkw aneh",ankbaruu,t i k t o k s h o p   l a r a n g   b i k i n   d a g a n g   t o k o   r a m e   g i m a n a   s h o p e e   l i v e   t o k o p e d i a   p l a y   l a z l i v e   g a k   l a n g s u n g   w u z z   t o k o   r a m e   w k w k w   a n e h
Mon Sep 25 09:53:49 +0000 2023,"@tanyarlfes harusnya tuh yg dilarang jualan di tiktokshop yg artis/seleb tuh, trus kasi edukasi ke penjual offline buat jualin produknya juga di tiktokshop jgn cuma di pasar/ruko soalnya jaman skrg banyak manusia mager maunya buka hp klik klik pesanan udah didepan rumah😭""",azuraziutzi,t u h   y g   l a r a n g   j u a l   t i k t o k s h o p   y g   a r t i s s e l e b   t u h   t r u s   k a s i   e d u k a s i   j u a l   o f f l i n e   j u a l i n   p r o d u k   t i k t o k s h o p   j g n   p a s a r r u k o   j a m a n   s k r g   m a n u s i a   m a g e r   m a u   b u k a   h p   k l i k   k l i k   p e s a n   u d a h   d e p a n   r u m a h
Mon Sep 25 09:47:06 +0000 2023,@tanyarlfes padahal lebih bangaj gratis ingkir di tiktokshop -_- lebih memudahkan pembeli malah dilarang,burburayamm,b a n g a j   g r a t i s   i n g k i r   t i k t o k s h o p     m u d a h   b e l i   l a r a n g
Thu Sep 21 01:07:09 +0000 2023,"@urphoenixia @txtdarionlshop masalahnya tuh di algoritma tiktokshop hey! mau jungkir balikpun kalo algoritma nya di set buat akun2 tertentu ya yang seller2 biasa pada mati. coba research soal project s nya tiktok, di us udah dilarang pasti ada alasannya dong.",havimon,t u h   a l g o r i t m a   t i k t o k s h o p   h e y   j u n g k i r   b a l i k   k a l o   a l g o r i t m a   n y a   s e t   a k u n   y a   s e l l e r   m a t i   c o b a   r e s e a r c h   p r o j e c t   s   n y a   t i k t o k   u s   u d a h   l a r a n g   a l a s
Wed Sep 20 13:39:52 +0000 2023,"mau tiktokshop dilarang, w ttep blanja di toko ijo dan oren (prnsip)",diownri,t i k t o k s h o p   l a r a n g   w   t t e p   b l a n j a   t o k o   i j o   o r e n   p r n s i p
Sat Sep 16 10:00:01 +0000 2023,apakah tepat kalau tiktok shop dilarang? share pendapat kalian di kolom komentar ya!  #tiktok #tiktokshop #mendag #zulkiflihasan #menparekraf #sandiagauno #infografis #pinterpolitik #politikindonesia #beritapolitik https://t.co/ndqgj6dveh,pinterpolitik,t i k t o k   s h o p   l a r a n g   s h a r e   d a p a t   k o l o m   k o m e n t a r   y a
Wed Sep 13 03:57:55 +0000 2023,kekuatan lobi pebisnis ke pemerintah indonesia menemukan ajangnya di kasus ini.  #tiktokshop dilarang pemerintah karena berpotensi mematikan industri e-commerce tak lain adl hasil lobi intensif pemain e-commerce besar nasional yg cemas nasibnya ke depan.  melawan #tiktok berat. https://t.co/q83utreghm,HastoSuprayogo,k u a t   l o b i   b i s n i s   p e r i n t a h   i n d o n e s i a   t e m u   a j a n g   i n i d i l a r a n g   p e r i n t a h   p o t e n s i   m a t i   i n d u s t r i   e c o m m e r c e   a d l   h a s i l   l o b i   i n t e n s i f   m a i n   e c o m m e r c e   n a s i o n a l   y g   c e m a s   n a s i b   d e p a n m e l a w a n b e r a t
Tue Sep 12 04:52:41 +0000 2023,"pedagang jualan offline banyak yg sepi, akhirnya jualan lewat tiktokshop pada laku rame, eh amalah tiktokshop dilarang sama pemerintah. gak habis pikir lama2 sama pemerintah di negara ini, kaya gak suka bgt gitu masyarakatnya sukses. jan gobloke goblok tenan!",jordannugraha,d a g a n g   j u a l   o f f l i n e   y g   s e p i   j u a l   t i k t o k s h o p   l a k u   r a m e   e h   a m a   t i k t o k s h o p   l a r a n g   p e r i n t a h   g a k   h a b i s   p i k i r   p e r i n t a h   n e g a r a   k a y a   g a k   s u k a   b g t   g i t u   m a s y a r a k a t   s u k s e s   j a n   g o b l o k e   g o b l o k   t e n a n
Mon Sep 11 13:05:08 +0000 2023,@pizzaldi ini tu di tiktokshop uda mulai barang dr cinanya masuk ndut. dulu shopee jg gini sampe akhirnya dilarang tu berapa kategori gaboleh dr luar negeri. inget bener dulu ad kerudung paris 1.000an dr guangzhou 😪 pedagang sini gabisa saingin,ditakencana,t u   t i k t o k s h o p   u d a   b a r a n g   d r   c i n a   m a s u k   n d u t   s h o p e e   j g   g i n   s a m p e   l a r a n g   t u   k a t e g o r i   g a b o l e h   d r   n e g e r i   i n g e t   b e n e r   a d   k e r u d u n g   p a r i s   a n   d r   g u a n g z h o u p e d a g a n g   g a b i s a   s a i n g i n
Thu Sep 07 12:57:34 +0000 2023,tiktokshop bakal dilarang: $buka $beli $goto girang? https://t.co/riqlyxuzyj,Mikirduitcom,t i k t o k s h o p   l a r a n g   b u k a   b e l i   g o t o   g i r a n g
Thu Feb 09 04:22:25 +0000 2023,dilarang membuka shopee dan tiktokshop ❌❌❌,kafikafikafi,l a r a n g   b u k a   s h o p e e   t i k t o k s h o p
